epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.2886,1.00043,3.44076,0.00675,0.89141,0.92075,0.94882,0.69421,0.9431,0.47465,0.00831,0.000660256,0.000660256,0.000660256
2,177.299,1.06738,0.72379,0.00734,0.88626,0.8821,0.94952,0.66729,1.06919,0.54997,0.00967,0.00131379,0.00131379,0.00131379
3,252.471,1.14527,0.65896,0.00788,0.72591,0.83585,0.85862,0.59712,nan,nan,nan,0.00195412,0.00195412,0.00195412
4,327.01,1.14514,0.6544,0.008,0.86248,0.88754,0.89019,0.61009,1.15292,1.00231,0.01062,0.0019406,0.0019406,0.0019406
5,401.147,1.08167,0.55264,0.00759,0.92098,0.9,0.96496,0.71993,0.86284,0.56857,0.00752,0.0019208,0.0019208,0.0019208
6,476.005,1.07033,0.53636,0.00745,0.94734,0.87358,0.95915,0.71899,0.86344,0.40598,0.00747,0.001901,0.001901,0.001901
7,550.312,1.07801,0.52926,0.00734,0.93645,0.91698,0.97554,0.7357,0.88034,0.36372,0.00768,0.0018812,0.0018812,0.0018812
8,625.2,1.03063,0.53143,0.00707,0.9242,0.85123,0.93971,0.7057,0.89289,0.66049,0.00799,0.0018614,0.0018614,0.0018614
9,699.464,1.02421,0.47782,0.00703,0.94573,0.91887,0.97531,0.73331,0.81143,0.35952,0.00708,0.0018416,0.0018416,0.0018416
10,773.076,0.99958,0.49833,0.00682,0.93842,0.93019,0.97731,0.73706,0.84255,0.34479,0.00738,0.0018218,0.0018218,0.0018218
11,847.72,0.9561,0.45127,0.00656,0.94607,0.93962,0.98092,0.75214,0.80685,0.33572,0.00716,0.001802,0.001802,0.001802
12,924.39,0.97806,0.46568,0.00643,0.91678,0.90566,0.95714,0.71497,0.91837,0.43594,0.00806,0.0017822,0.0017822,0.0017822
13,998.819,0.99175,0.42873,0.00669,0.93548,0.9717,0.98681,0.73803,0.84268,0.30294,0.00737,0.0017624,0.0017624,0.0017624
14,1072.91,0.92855,0.40074,0.00631,0.89579,0.96038,0.97168,0.743,0.8102,0.33432,0.00693,0.0017426,0.0017426,0.0017426
15,1146.9,0.91672,0.41246,0.00643,0.93153,0.94971,0.97715,0.73662,0.82061,0.32619,0.00722,0.0017228,0.0017228,0.0017228
16,1220.9,0.96501,0.43084,0.00656,0.93707,0.92264,0.98114,0.74239,0.80543,0.35081,0.00714,0.001703,0.001703,0.001703
17,1295.23,0.96311,0.44816,0.0066,0.93764,0.90566,0.96812,0.70499,0.99556,0.4344,0.00883,0.0016832,0.0016832,0.0016832
18,1369.15,0.93331,0.40234,0.00632,0.93551,0.95792,0.9844,0.75736,0.78952,0.30334,0.00681,0.0016634,0.0016634,0.0016634
19,1443.56,0.92901,0.40165,0.00634,0.92055,0.95283,0.98099,0.76113,0.75708,0.32956,0.00649,0.0016436,0.0016436,0.0016436
20,1519.99,0.89186,0.39879,0.00614,0.90347,0.95363,0.97637,0.75086,0.73727,0.32551,0.00642,0.0016238,0.0016238,0.0016238
21,1594.24,0.88717,0.38757,0.00601,0.93035,0.96226,0.97959,0.76137,0.7242,0.29681,0.00634,0.001604,0.001604,0.001604
22,1669.16,0.89978,0.37501,0.00605,0.93761,0.96792,0.98226,0.75039,0.76849,0.28604,0.00676,0.0015842,0.0015842,0.0015842
23,1743.8,0.8879,0.36382,0.00599,0.95302,0.95849,0.98446,0.75439,0.7535,0.28912,0.00659,0.0015644,0.0015644,0.0015644
24,1817.81,0.88469,0.38523,0.00588,0.92976,0.96792,0.97597,0.75459,0.72657,0.33652,0.00636,0.0015446,0.0015446,0.0015446
25,1891.72,0.86686,0.4101,0.00595,0.93055,0.96068,0.97912,0.72861,0.82393,0.33438,0.00764,0.0015248,0.0015248,0.0015248
26,1965.32,0.90625,0.38248,0.006,0.93442,0.96789,0.98641,0.76139,0.75308,0.2881,0.00665,0.001505,0.001505,0.001505
27,2039.95,0.88649,0.39279,0.00598,0.93618,0.96877,0.98341,0.76424,0.73168,0.28075,0.00628,0.0014852,0.0014852,0.0014852
28,2116.35,0.88263,0.37469,0.00589,0.91358,0.97736,0.98424,0.76762,0.77936,0.32532,0.00682,0.0014654,0.0014654,0.0014654
29,2191.25,0.88066,0.3719,0.0058,0.92989,0.97604,0.98428,0.76572,0.72664,0.27793,0.0062,0.0014456,0.0014456,0.0014456
30,2265.59,0.8722,0.34585,0.00578,0.94015,0.97805,0.98847,0.77738,0.71659,0.26546,0.00621,0.0014258,0.0014258,0.0014258
31,2340.21,0.85166,0.36215,0.00562,0.9465,0.96226,0.98848,0.76202,0.76049,0.30843,0.00661,0.001406,0.001406,0.001406
32,2414.51,0.86607,0.34486,0.00584,0.94533,0.95472,0.98405,0.76394,0.74478,0.28097,0.0064,0.0013862,0.0013862,0.0013862
33,2488.76,0.84343,0.34976,0.00559,0.95761,0.93775,0.98653,0.75846,0.7292,0.28983,0.00641,0.0013664,0.0013664,0.0013664
34,2562.77,0.85499,0.37886,0.00571,0.93611,0.93991,0.98481,0.7712,0.73621,0.2887,0.0064,0.0013466,0.0013466,0.0013466
35,2636.56,0.85894,0.3515,0.00579,0.91527,0.97829,0.97759,0.75268,0.74582,0.29511,0.00639,0.0013268,0.0013268,0.0013268
36,2710.49,0.8498,0.35046,0.00563,0.94198,0.98022,0.98798,0.77368,0.72638,0.27023,0.00638,0.001307,0.001307,0.001307
37,2784.54,0.81148,0.33295,0.00544,0.93554,0.96038,0.96747,0.74665,0.78628,0.32207,0.00684,0.0012872,0.0012872,0.0012872
38,2858.26,0.85236,0.37017,0.00562,0.96172,0.94803,0.98773,0.76902,0.72082,0.2775,0.00618,0.0012674,0.0012674,0.0012674
39,2932.29,0.84735,0.35628,0.00568,0.96562,0.95397,0.9853,0.77064,0.7378,0.26839,0.0063,0.0012476,0.0012476,0.0012476
40,3006.63,0.83961,0.34519,0.00567,0.95097,0.95142,0.98616,0.78029,0.71478,0.28151,0.00605,0.0012278,0.0012278,0.0012278
41,3081.17,0.84171,0.3522,0.0056,0.94248,0.95843,0.98677,0.77067,0.72332,0.28909,0.00617,0.001208,0.001208,0.001208
42,3154.99,0.82014,0.34177,0.00546,0.9466,0.9717,0.98823,0.77985,0.70815,0.25555,0.00615,0.0011882,0.0011882,0.0011882
43,3228.66,0.80256,0.34318,0.00538,0.9443,0.9596,0.98711,0.7798,0.70995,0.28274,0.00615,0.0011684,0.0011684,0.0011684
44,3302.46,0.79315,0.32033,0.0052,0.94123,0.96604,0.98753,0.77637,0.715,0.2694,0.00617,0.0011486,0.0011486,0.0011486
45,3376.37,0.82469,0.31234,0.00537,0.9498,0.96387,0.98685,0.77246,0.7209,0.26921,0.00627,0.0011288,0.0011288,0.0011288
46,3450.21,0.80646,0.32542,0.00539,0.94775,0.97358,0.98764,0.77651,0.68896,0.26522,0.00597,0.001109,0.001109,0.001109
47,3524.72,0.79696,0.3211,0.00538,0.95434,0.96604,0.98848,0.78143,0.69615,0.25839,0.00601,0.0010892,0.0010892,0.0010892
48,3603.91,0.78304,0.31138,0.00534,0.96774,0.9434,0.98884,0.7842,0.70021,0.2612,0.00604,0.0010694,0.0010694,0.0010694
49,3681.65,0.82327,0.3315,0.0055,0.94533,0.97877,0.98972,0.78272,0.6902,0.25038,0.006,0.0010496,0.0010496,0.0010496
50,3757.59,0.80883,0.32988,0.00527,0.94809,0.96493,0.98882,0.78218,0.71077,0.2665,0.0061,0.0010298,0.0010298,0.0010298
51,3835.22,0.76266,0.31615,0.00509,0.94301,0.98113,0.99008,0.77012,0.72163,0.26533,0.00633,0.00101,0.00101,0.00101
52,3915.58,0.79728,0.32897,0.00537,0.92492,0.97736,0.97741,0.76499,0.69183,0.30787,0.00602,0.0009902,0.0009902,0.0009902
53,3995.15,0.78376,0.30993,0.00513,0.96041,0.9613,0.98796,0.78415,0.69318,0.25325,0.00602,0.0009704,0.0009704,0.0009704
54,4068.83,0.77929,0.32362,0.0052,0.93958,0.97925,0.98901,0.78613,0.70143,0.25645,0.00602,0.0009506,0.0009506,0.0009506
55,4153.07,0.7622,0.29585,0.00506,0.95155,0.96343,0.98315,0.76839,0.68893,0.26288,0.00592,0.0009308,0.0009308,0.0009308
56,4233.18,0.79132,0.31248,0.0053,0.95354,0.96808,0.98946,0.78195,0.68786,0.25789,0.00595,0.000911,0.000911,0.000911
57,4312.78,0.76998,0.29833,0.00517,0.94435,0.97736,0.98589,0.77237,0.68547,0.25913,0.0059,0.0008912,0.0008912,0.0008912
58,4392.58,0.78942,0.30915,0.00526,0.93552,0.98868,0.99007,0.78259,0.68896,0.24157,0.00585,0.0008714,0.0008714,0.0008714
59,4472.98,0.78979,0.3049,0.0052,0.9486,0.9749,0.98556,0.78011,0.67359,0.26197,0.00579,0.0008516,0.0008516,0.0008516
60,4547.33,0.77562,0.31788,0.00521,0.94881,0.97919,0.98896,0.77868,0.70788,0.25576,0.00609,0.0008318,0.0008318,0.0008318
61,4626.76,0.74612,0.28824,0.00494,0.94226,0.98528,0.98546,0.79072,0.66276,0.24074,0.00568,0.000812,0.000812,0.000812
62,4712.6,0.73628,0.28669,0.00484,0.96796,0.96896,0.98743,0.78464,0.68281,0.24595,0.00586,0.0007922,0.0007922,0.0007922
63,4790.81,0.74803,0.2884,0.00499,0.96042,0.97358,0.99003,0.78466,0.68092,0.24838,0.00589,0.0007724,0.0007724,0.0007724
64,4872.32,0.74263,0.2875,0.00482,0.9418,0.97925,0.98066,0.77895,0.67307,0.26016,0.00578,0.0007526,0.0007526,0.0007526
65,4962.41,0.75594,0.29107,0.00494,0.94768,0.97925,0.9874,0.78636,0.67678,0.24952,0.00579,0.0007328,0.0007328,0.0007328
66,5042.91,0.72844,0.28319,0.00475,0.93048,0.98495,0.98945,0.78607,0.66552,0.24918,0.00576,0.000713,0.000713,0.000713
67,5121.86,0.7541,0.30917,0.00505,0.95467,0.97547,0.99026,0.7914,0.67155,0.24682,0.00579,0.0006932,0.0006932,0.0006932
68,5206.45,0.76388,0.30099,0.00504,0.96989,0.97236,0.99151,0.787,0.67116,0.23265,0.00579,0.0006734,0.0006734,0.0006734
69,5283.97,0.72495,0.27279,0.00489,0.95946,0.9717,0.99133,0.78976,0.65376,0.24826,0.00558,0.0006536,0.0006536,0.0006536
70,5362.95,0.73173,0.27606,0.00495,0.95916,0.97492,0.9906,0.78793,0.66343,0.24271,0.00565,0.0006338,0.0006338,0.0006338
71,5437.28,0.75598,0.29407,0.00517,0.96486,0.96604,0.99039,0.78407,0.66331,0.24851,0.00569,0.000614,0.000614,0.000614
72,5516.68,0.75296,0.28227,0.00486,0.95817,0.97547,0.99026,0.78729,0.66566,0.23996,0.00572,0.0005942,0.0005942,0.0005942
73,5597.27,0.7398,0.27962,0.00484,0.95918,0.97533,0.98815,0.78054,0.66744,0.24407,0.00575,0.0005744,0.0005744,0.0005744
74,5677.34,0.70875,0.28103,0.00479,0.95567,0.97624,0.98793,0.78124,0.68609,0.25548,0.00586,0.0005546,0.0005546,0.0005546
75,5751.94,0.73939,0.28064,0.00495,0.9644,0.9717,0.99137,0.78837,0.66834,0.24732,0.00574,0.0005348,0.0005348,0.0005348
76,5831.32,0.68542,0.26571,0.00466,0.96422,0.96597,0.98848,0.7861,0.66646,0.2466,0.00569,0.000515,0.000515,0.000515
77,5909.02,0.71483,0.26122,0.00483,0.95294,0.97547,0.98719,0.786,0.65539,0.24956,0.00569,0.0004952,0.0004952,0.0004952
78,5988.63,0.7339,0.2817,0.00481,0.94532,0.97859,0.98704,0.78527,0.66323,0.24822,0.00565,0.0004754,0.0004754,0.0004754
79,6062.86,0.69556,0.25768,0.00468,0.95227,0.97869,0.98556,0.78633,0.66408,0.24396,0.00565,0.0004556,0.0004556,0.0004556
80,6137.2,0.70362,0.27302,0.00482,0.95757,0.97927,0.99004,0.79093,0.66084,0.24006,0.00571,0.0004358,0.0004358,0.0004358
81,6212.39,0.71591,0.27008,0.00467,0.95799,0.96792,0.98556,0.78945,0.65048,0.24256,0.00556,0.000416,0.000416,0.000416
82,6292.43,0.71053,0.27085,0.00477,0.96255,0.96998,0.98902,0.78727,0.66924,0.24171,0.00573,0.0003962,0.0003962,0.0003962
83,6382.47,0.70464,0.26119,0.00473,0.9655,0.97358,0.98823,0.78939,0.64886,0.23915,0.00553,0.0003764,0.0003764,0.0003764
84,6462.18,0.69537,0.265,0.00458,0.96951,0.95991,0.98945,0.79643,0.63983,0.23663,0.00553,0.0003566,0.0003566,0.0003566
85,6540.83,0.68841,0.25504,0.00442,0.96798,0.96954,0.98857,0.7916,0.65682,0.24634,0.00561,0.0003368,0.0003368,0.0003368
86,6620.15,0.68653,0.25639,0.00446,0.96608,0.96722,0.98858,0.79697,0.64671,0.24572,0.00555,0.000317,0.000317,0.000317
87,6710.11,0.67723,0.26129,0.00462,0.96729,0.97358,0.9894,0.79651,0.64757,0.23848,0.00559,0.0002972,0.0002972,0.0002972
88,6789.7,0.68824,0.26475,0.00456,0.96808,0.97283,0.98827,0.7922,0.65501,0.24242,0.00561,0.0002774,0.0002774,0.0002774
89,6869.93,0.67434,0.24889,0.00446,0.95072,0.98278,0.99044,0.79531,0.65404,0.23486,0.00563,0.0002576,0.0002576,0.0002576
90,6948.34,0.68341,0.26174,0.00451,0.96631,0.97418,0.98797,0.79151,0.65092,0.23292,0.00561,0.0002378,0.0002378,0.0002378
91,7030.52,0.64967,0.22368,0.00567,0.96617,0.97358,0.99088,0.79106,0.65512,0.2297,0.00563,0.000218,0.000218,0.000218
